id,EC,Effort,GPS,Time,,"Latitude(N,84)",,,"Longitude(E,84)",,,Speed,Brg,Weather,Glare,Sightability,Visibility,deep(m),Beaufort,Sal.(‰),T(℃),pH,Turbidity(NTU),Net,Recorder,Cargo(mobile),Cargo(station),Fishing Boat(mobile),Fishing Boat(station),Comments
83,R,ON,773,09,59,23,59,010,120,17,859,8.2 ,031,Cr,0,0,1.5 ,12.1 ,1,30.8 ,29.4 ,8.09 ,5.38 ,2,KP,0,0,0,0,NA
84,R,ON,774,10,08,24,00,011,120,18,524,8.3 ,036,Cr,0,0,1.5 ,8.9 ,1,30.0 ,29.4 ,8.10 ,6.26 ,0,KP,0,0,0,0,NA
85,R,ON,775,10,16,24,01,001,120,19,189,7.6 ,035,Cr,0,0,1.5 ,3.8 ,1,29.8 ,29.3 ,8.10 ,4.41 ,0,JL,0,0,0,0,些許白頭浪
86,R,ON,776,10,25,24,02,001,120,19,780,7.8 ,028,Cr,0,0,1.5 ,5.5 ,1,30.4 ,29.4 ,8.11 ,5.00 ,0,JL,0,0,0,0,NA
87,R,ON,777,10,34,24,03,008,120,20,525,8.0 ,035,Cr,0,0,1.5 ,8.4 ,1,31.0 ,29.3 ,8.12 ,4.17 ,4,JL,0,0,0,1,NA
88,R,ON,778,10,44,24,04,003,120,21,520,8.4 ,038,PC,0,0,1.5 ,8.9 ,1,31.1 ,29.2 ,8.12 ,3.80 ,1,MO,0,0,0,1,稍有水氣
89,R,OFF,779,10,52,24,05,005,120,22,050,8.2 ,022,PC,0,0,1.5 ,9.9 ,2,32.3 ,29.0 ,8.13 ,3.42 ,1,MO,0,1,0,1,NA
90,BP,OFF,780,11,19,24,05,111,120,25,211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,JL,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
